"@timestamp","agent.name","event.code","process.name","process.executable","network.protocol","network.transport","source.ip","destination.ip"
"Jun 10, 2025 @ 10:45:43.565","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","18.239.153.11"
"Jun 10, 2025 @ 10:45:43.392","DESKTOP-NIU0UCP",1,"svchost.exe","C:\Windows\System32\svchost.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:43.391","DESKTOP-NIU0UCP",4624,"services.exe","C:\Windows\System32\services.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:43.391","DESKTOP-NIU0UCP",4672,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:43.347","DESKTOP-NIU0UCP",1,"RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:43.308","DESKTOP-NIU0UCP",1,"svchost.exe","C:\Windows\System32\svchost.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:43.299","DESKTOP-NIU0UCP",1,"GameBarFTServer.exe","C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_7.325.5191.0_x64__8wekyb3d8bbwe\GameBarFTServer.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:43.234","DESKTOP-NIU0UCP",16,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:43.139","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","18.239.153.17"
"Jun 10, 2025 @ 10:45:42.695","DESKTOP-NIU0UCP",1,"GameBar.exe","C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_7.325.5191.0_x64__8wekyb3d8bbwe\GameBar.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:42.692","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","18.239.153.38"
"Jun 10, 2025 @ 10:45:42.473","DESKTOP-NIU0UCP",5,"LogonUI.exe","C:\Windows\System32\LogonUI.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:42.139","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","18.239.153.38"
"Jun 10, 2025 @ 10:45:42.135","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","20.189.173.24"
"Jun 10, 2025 @ 10:45:42.050","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","13.107.213.254"
"Jun 10, 2025 @ 10:45:42.035","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","172.202.65.254"
"Jun 10, 2025 @ 10:45:42.024","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","52.191.219.104"
"Jun 10, 2025 @ 10:45:42.011","DESKTOP-NIU0UCP","-","-","-",http,tcp,"192.168.4.100","23.9.220.6"
"Jun 10, 2025 @ 10:45:41.978","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","13.107.9.254"
"Jun 10, 2025 @ 10:45:41.968","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:41.953","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:41.875","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","49.44.183.8"
"Jun 10, 2025 @ 10:45:41.815","DESKTOP-NIU0UCP","-","-","-",dns,udp,"192.168.4.100","8.8.8.8"
"Jun 10, 2025 @ 10:45:41.804","DESKTOP-NIU0UCP","-","-","-",dns,udp,"192.168.4.100","8.8.8.8"
"Jun 10, 2025 @ 10:45:41.804","DESKTOP-NIU0UCP","-","-","-",http,tcp,"192.168.4.100","23.9.220.6"
"Jun 10, 2025 @ 10:45:41.804","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","204.79.197.222"
"Jun 10, 2025 @ 10:45:41.782","DESKTOP-NIU0UCP",1,"backgroundTaskHost.exe","C:\Windows\System32\backgroundTaskHost.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:41.761","DESKTOP-NIU0UCP","-","-","-",dns,udp,"192.168.4.100","8.8.8.8"
"Jun 10, 2025 @ 10:45:41.738","DESKTOP-NIU0UCP","-","-","-",dns,udp,"192.168.4.100","8.8.8.8"
"Jun 10, 2025 @ 10:45:41.717","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","49.44.183.40"
"Jun 10, 2025 @ 10:45:41.699","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:41.657","DESKTOP-NIU0UCP","-","-","-",dns,udp,"192.168.4.100","8.8.8.8"
"Jun 10, 2025 @ 10:45:41.634","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:41.610","DESKTOP-NIU0UCP",1,"backgroundTaskHost.exe","C:\Windows\System32\backgroundTaskHost.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:41.604","DESKTOP-NIU0UCP","-","-","-",dns,udp,"192.168.4.100","8.8.8.8"
"Jun 10, 2025 @ 10:45:41.599","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","18.239.153.38"
